pid,fum,frcv,fry,forc
741580,KH-2850,DM-1300,0,JR-2150
741666,DA-0900,DA-1425,0,DF-1350
741670,TH-1750,TH-1750,0,
741759,DJ-1325,JB-6750,0,GQ-0100
741778,KR-0375,KR-0375,0,
741876,DJ-1325,JD-0650,16,AR-1115
742038,MG-0850,MG-0850,0,
742068,DT-1250,RR-0850,0,DK-0362
742093,MC-0150,MC-0150,0,
742174,AD-0100,MP-1225,0,TS-3500
742302,TS-0550,AJ-1150,0,YN-0100
742320,TS-0550,DF-1481,53,YN-0100
742369,DW-1725,YN-0100,0,
742548,KR-0312,KR-0312,0,
742555,KR-0312,KR-0312,0,
742615,JR-2075,,0,
742751,KC-2350,JH-3675,0,FC-0400
742757,CW-1425,MF-1400,0,
742766,JC-5680,TB-3950,0,
742884,KC-2350,FC-0400,20,BG-1200
742955,AB-3500,,0,JC-3550
742981,JP-1975,JP-1975,0,
743084,TH-1850,TJ-2250,0,TJ-2250
743103,ST-0700,ST-0700,0,
743120,TG-1950,,0,DB-6100
743132,TA-1050,JG-1050,0,
743180,MM-0050,JB-5725,0,CL-0987
743206,CN-0500,JS-6700,0,
743226,BH-1900,SL-0950,0,WH-0850
743325,CM-1225,RR-0925,2,RR-0925
743435,CL-0975,AR-1300,0,
743439,RW-3850,KF-0050,0,MD-0060
743571,SS-1250,SS-1250,0,JS-4150
743754,LM-1850,DM-3550,0,AK-0650
743952,JC-2300,CH-2250,11,KT-0650
744007,JR-3280,JC-3350,49,KJ-0100
744208,QB-0250,CM-2425,0,JB-8700
744240,DB-2937,JB-5725,0,
744275,CP-0500,CP-0500,0,
744305,JB-5725,JB-5725,0,CJ-2050
744402,CC-2100,,0,LK-0600
744411,KC-1250,SW-2300,0,
744496,TC-1975,CL-1850,0,RS-2350
744508,MG-0850,LD-0150,0,NS-0712
744560,CS-1950,LF-0450,21,PM-0500
744643,DK-0875,MJ-2700,0,TS-3500
744769,AC-2150,TC-2150,7,JM-2800
744970,AT-0350,AB-3875,0,WG-0500
745051,DB-3800,DB-3800,0,
745187,CW-1425,LJ-0850,0,CJ-2168
745211,DS-3300,AS-0900,0,JW-5625
745252,CW-1425,CW-1425,0,CJ-2168
745358,BB-2425,EW-0100,0,BO-0400
745422,KC-1550,,0,LS-0950
745695,KR-0312,JH-5125,0,
745741,JM-2900,KJ-1150,0,KJ-1150
745761,DW-1350,DW-1350,0,BS-2300
745813,TS-1450,MC-2150,6,DL-0450
745817,CL-0275,CL-0275,0,JH-3210
745961,RW-3850,TR-0112,0,
745984,CH-5000,,0,
746133,JR-1150,JR-1150,0,NR-0350
746155,TG-1950,TM-1400,0,JN-1750
746196,JG-1850,JS-7200,0,RK-0500
746206,KC-2350,KC-2350,0,
746221,KC-2350,CT-1220,0,
746244,TG-1950,TG-1950,0,JN-1750
746362,AR-1300,DT-1970,15,VB-0075
746479,MS-4100,DK-0465,0,JP-2900
746514,EM-0200,EM-0200,0,EA-0550
746624,RM-5050,NR-0350,0,TW-0160
746640,TA-1050,KN-0150,0,
746708,TG-1950,RH-1250,0,DB-5475
746750,PC-0625,AR-1200,0,VB-0098
746880,TW-1350,TS-2050,52,CC-0200
747217,DK-0875,DJ-1850,0,
747239,JD-2550,CK-0850,0,JB-7650
747489,DW-1725,,0,
747508,RG-2200,,0,AH-0250
747536,TB-2300,JC-3350,22,WM-0550
747570,DW-1725,CC-1900,0,CM-0250
747589,TB-2300,SM-0850,0,CC-4550
747635,TB-2300,DA-1425,0,MG-0600
747743,JM-2900,JM-2900,0,NS-0800
747778,JM-2900,JM-2900,0,
747779,EM-0950,MH-3735,0,BM-0600
747790,JG-2950,JG-2950,0,
747896,CN-0500,MK-0150,0,TH-1350
747923,CN-0500,CN-0500,0,AO-0370
748069,ZE-0100,EA-0575,0,LC-0850
748132,ER-0462,SM-2300,0,
748147,BR-1100,AH-3050,0,BC-0150
748187,MG-0850,MG-0850,0,
748201,MC-2570,,0,VM-0250
748218,JH-5575,RS-0962,3,RS-0962
748272,TC-1975,BM-0360,0,RS-0962
748274,CW-1875,MG-0850,0,
748363,JW-5650,JW-5650,0,
748369,JW-5650,JW-5650,0,
748495,RW-3850,RW-3850,0,
748515,JB-5750,RW-3850,0,
748612,RW-3850,RW-3850,0,
748704,WJ-0150,QR-0100,0,
748907,ZF-0300,AS-1600,0,
748909,CW-1450,CW-1450,0,CL-1000
749047,JC-5680,JC-5475,0,
749067,SP-0825,JC-5475,0,CJ-0675
749093,SR-0750,MS-3450,0,KF-0450
